Q01_Best part	Q02_Worst part	Q03_Time
feature part. The concept became clear after this round.&nbsp;	'Quiz related to matrix multiplication. I don''t have clue where to find information from.&nbsp;'	3 : 6-10 Hours
Task #4: It made me remember the eigenvalue, eigenvector decomposition of the matrices. It made me think for a while, it was not that systematic.	Task 0: matrices. There was not even a code to write there (or then I misunderstood and forgot to do it)	2 : 1-5 hours
Actually the whole jupyter book. Was good to start with really easy assignments to get to know the notebook layout and the libraries. They were also directly hands on with questions that have clear answers that can be confirmed through other sources before handing it in. Keep this up!	Quiz - questions about matrixes when they were according to me not in the slides or exercises as much. -&gt; Okey good to refresh or learn needed aspects anyway but quiez questions should be based on the lectures and assignments to act as check for what I know or what I need to train more on after the first attempt or what not.	3 : 6-10 Hours
Part two was really nice and visual.	Part three was a good topic but I would have required some more step by step introductions to handle the eigenvector decomposition	2 : 1-5 hours
The best part of this round was doing the hands-on exercises. Especially, I enjoyed tasks 1-2, because I learned to plot in Python.	'The worst parts of this round were tasks 3.3-3.5, because I didn''t quite understand what I was supposed to do.'	4 : 10-20 hours
Hypothesis space was intresting concept which I found difficult to understand properly.	I prefer to read instead of doing coding assignments so the hands-on part was the worst part.	4 : 10-20 hours
I liked how the roomba example had a major part in explaining features, labels and the hypothesis space. Math equations can have a frightening effect on me so it is always nice to have some roombas.	'Jupyter seemed a little volatile as I couldn''t use it on the last day. Topics were cool though.'	3 : 6-10 Hours
Best part were the coding exercises, as they were more about problem solving.&nbsp;	'Reading the course book was quite painful, and I''d hope it would be even more based on examples and cases. Especially the loss functions were challenging to understand.&nbsp;'	4 : 10-20 hours
The course book chapter(s) was a good and clear resource for understanding the basics.	'Same questions in a quiz that you can complete three times. You can get a decent grade with trial and error and if you have any friends that''s even easier. I''m not sure how well that measures your learning.'	3 : 6-10 Hours
'Good thing the coruse didn''t gloss over any of the basics.'	Nothing that bad in the round. It was fairly easy.	1 : less than 1 hour
The python exercises were quite fun and it was nice to see the results instantly in the notebook	nothing particular	3 : 6-10 Hours
Using concrete examples in lectures made the concepts much more easy to understand. It was also good to practise using python for plotting functions.	It was hard to see a clear link between the python notebook and the lectures. The loss functions were somewhat hard to understand and I felt like they were explained the least compared to other topics.&nbsp;	3 : 6-10 Hours
The best part was plotting graphs, and visualising the given data. This gave a better understanding of what the data holds, and visualising eigen vectors gave an understanding of how the actually relate to the data. This was fun!	The worst part was having to google python syntax all the time, as I have only completed an introductory course to python.&nbsp;	2 : 1-5 hours
The best part of this round was the JupyterHub and the excercises in there. The Jupyter is nice environmet to do little coding assigments and I actually learned some python. This is helpful for my work :) 	The hyphotesis space was unclear for me, so that is the worst part. 	4 : 10-20 hours
Best was to learn how to use Jupyter notebook. It is a nice tool.	That one did not know if it was meaning to try to find typos in material to get points. That would have been better clarified.	3 : 6-10 Hours
The notebook. It was relatively easy to understand and running coding assignments on it with all the materials at the same place is convenient.	'The quiz''s multiple choice of plots. I chose the wrong answer because the letter was in an ambiguous place.'	4 : 10-20 hours
The notebook. It was relatively easy to understand and running coding assignments on it with all the materials at the same place is convenient.	'The quiz''s multiple choice of plots. I chose the wrong answer because the letter was in an ambiguous place.'	4 : 10-20 hours
The notebook. It was relatively easy to understand and running coding assignments on it with all the materials at the same place is convenient.	'The quiz''s multiple choice of plots. I chose the wrong answer because the letter was in an ambiguous place.'	4 : 10-20 hours
-0	-0	2 : 1-5 hours
Features	Hypothesis space	2 : 1-5 hours
The python exercises were fun, great hands-on refresher on linear algebra.	'In the quiz the images and radio buttons are not vertically aligned, so it''s easy to unintentionally choose wrong answer.'	3 : 6-10 Hours
The scatter plot was best. Important coding functions.	'The quiz was worst part. Even with right plots I first chose wrong options, because the labeling of the options was misleading as the option labels weren''t centered.'	4 : 10-20 hours
The course book was excellent. I read the 2 first chapters already on the previous week and understanding everything on the lecture was easy.	'The quizzes first 2 questions were quite hard, since the Linear algebra &amp; matrix operations weren''t very clear in my memory. Maybe you have something ready made cheat sheets for matrix operations that you could share for the students?'	4 : 10-20 hours
The distinct definitions of key concepts - features, labels, hypothesis, and loss function were defined very well. (Part 2 - Components of a ML problems)	No particular bad part of this round.	3 : 6-10 Hours
The example of finding correlation between the prices of crypto-currencies was good as it was engaging and showed a potential real world application at the same time.	While the eigenvalue decompositions were very relevant to the subject overall, I felt they could have been introduced better in this first round (They do not come up again until the last round).	2 : 1-5 hours
'The substance exercises were straightforward and relevant, nice to do. However, I was familiar with the topics beforehand so it wasn''t too much of a challenge. Not a problem though'	Typo finding	2 : 1-5 hours
The Roomba examples in the course book was an interesting start to the course, in providing a real life example of ML applications and problems.	The exercises were basically a python tutorial instead of actual machine learning which made the exercises seem kind of pointless.	2 : 1-5 hours
Loved the coding. Extremely well done notebook exercices!!	Trying to find mistakes from the text...	3 : 6-10 Hours
'Coding exercises support learning a lot, especially because it''s been a while since last coding with Python!Coding platform is really easy to use!'	I think there was nothing bad in this round.	4 : 10-20 hours
The exercise task2 with colored clusters and their histograms was a nice introduction to basic reasoning of data graphs in my opinion.&nbsp;	The worst part was my personal choice of starting it too late, not being familiar with the 3 attempts rule, and in general trying to get a new coding framework to work at the last minute.	2 : 1-5 hours
3 exercise was good. I have calculated eigenvectors and eigenvalues at least in 3 different math courses. This was the first time that I actually understood where you can use those values and why the are calculated.In addition, I think that it is good to have this kind of intoduction round where you have time to figure out the software and play with the jupyter notebook by yourself.	Exercise 1. It was too easy, although it was not a bad exercise.	3 : 6-10 Hours
The apple app example on lectures has been easy to follow through different topics and has helped put all topics into a larger framework	Mandatory open questions in feedback feel tedious, but I guess they are useful for gathering data on how to improve the course	2 : 1-5 hours
The coding assignment. It was a good refresher on Python and and introduction to the course topic.	The exercise return system. It left me uncertain whether my coding assignment submission has been accepted.&nbsp;	2 : 1-5 hours
Task 2 was great for me because as a mechanical engineer and working with CFD it helped me to understand the data.	Eigenvector and eigenvalues. I solved it but do not understand their physical meaning.	2 : 1-5 hours
first exercise because was easy	last exercises because they are hard	3 : 6-10 Hours
Doing the exercise in the exercise session and getting help.&nbsp;Why: Because it made me understand better and have better picture.	The worst parts were doing this alone at home.	4 : 10-20 hours
'After seeing the teacher''s answers I have understood the problem and how to solve it'	Hypothesis space exercise was hard because I did not really get first what to do in it and how the inputs work.	4 : 10-20 hours
'After seeing the teacher''s answers I have understood the problem and how to solve it'	Hypothesis space exercise was hard because I did not really get first what to do in it and how the inputs work.	4 : 10-20 hours
&nbsp;&nbsp;	&nbsp;&nbsp;	5 : more than 20 hours
The assignment, nice to get hands dirty right away!	None	2 : 1-5 hours
Eigenvalue and eigenvector are the terms that I found the most helpful for me this week because I heard about them before but do not really spend time on understanding it.&nbsp;Basically, a scalar λ is called an eigenvalue of the n × n matrix A if there is a nontrivial solution x of Ax = λx. Such an x is called an eigenvector corresponding to the eigenvalue λ.	I do not see anything which can be considered the worst part because I learnt&nbsp;something from all of the topic covered this week.	2 : 1-5 hours
Loss functions and using them to build Machine learning. I had never quite understood how machine learning worked before. It was interesting to finally understand how they could actually be made.	Coding assignment. It was a bit silly just looking up python functions in the docs and pretty much just inserting them into the file as is.	2 : 1-5 hours
Eigenvectors seemed very useful and have never used it for a dataset	The way the N and d were depicted in the Quiz versus the rest of the material was really puzzling and confusing	3 : 6-10 Hours
The first exercise because that was not really covered in the lecture.	'The first question. I appreciate math and theory has to be well understood but Im wasn''t sure where I could find the information to answer that question.'	3 : 6-10 Hours
Introduction to the basic terms in ML	Everything was ok	4 : 10-20 hours
Video lectures are the best because of 1,25 fast forwarding!	N/A	4 : 10-20 hours
'Eigenvectors.It was possible to see visually the relation between the data set and the vectors'' direction and length.'	The mathematics is always abstract to read if not used to it.	3 : 6-10 Hours
The programming task related to eigenvectors. I had already practiced some plotting, and in this exercise the plot made sense, since the eigenvectors and the scatterplot related to each other. I plotted the eigenvectors in a wrong manner, as I took the rows to be the eigenvectors and not the columns. The plot seemed weird, and so I looked more carefully into the exercise. So it was also good personal learning experience. I also liked that it was a combination of mathematics, coding and visualisation, so that all parts came together. It was also important that there were those previous tasks that prepared for this tasks. They were much less fun, very frustrating for someone totally new to python.	'The quiz was ethically very questionable as a gradable course assignment, and I find this a serious transgression. Many questions were directly dependent on having SUCCESSFULLY completed the coding exercises. I think this type of a dependence is academically unethical. Everyone should have an equal chance at answering the questions of the quiz, independent of the coding exercises.  Only such questions should be asked that they are based on different numbers, data and specific equations (such as that for plotting the graph in the task 1) than what was used in the coding exercises.I understand that sometimes within one set of tasks, there are dependencies, just like in the coding exercise. But whenever there are dependencies between separate assignments, the correct answers to the previous ones should be made available to the students. One could think this also in the following way: if the quiz was part of the coding exercise, would it make sense to have such questions? Would it be reasonable to ask, for example, which graph is correct, or which were the values of the eigenvector? Would it make sense to give points from such questions, if the coding tasks themselves are graded as well?I have to say, I am actually considering taking this matter to the dean, because of the unethical aspects, and I fully expect that the results of the quiz will be nullified for the ethically questionable parts to rectify the situation. Furthermore, I expect that for all subsequent quizes, there will be no such dependence that I described here.I understand that the course might be based on a teaching philosophy with an ethical dimensions that justify the above described dependence. If that is the case, I would very much like to hear the thoughts and justifications of the responsible teacher for the course. I hope that whoever ends up reading this answer, would relay it to the responsible teacher of the course. As I''m not sure, whether my contact details are visible for the person checking this answer, I leave my contact details here: tmi.otto.schultz@gmail.com (or in case you prefer using my Aalto mail, as the subject is somewhat sensitive, that would be otto.schultz@aalto.fi)'	3 : 6-10 Hours
Loss Function was explained pretty clearly.&nbsp;Practical coding excercises	Eigenvectors definitions are quite confusing for me. I will not say it the worst but compared to other parts, I will name this one.&nbsp;	3 : 6-10 Hours
'Exercise 2. As I haven''t used that much Python, I had to use more time in getting to know the basic Python features and that question really helped me to understand how to plot graphs in Python. Plotting exercise 3 was then easy and exercise 1 did not make me to dig so deep into the parameters of the plot functions.'	3. Since it has been some time from last Matrix manipulation that I was able to produce the eigenvectors but the meaning of it did not open up 100%. However, this might need some further reading from my part.	3 : 6-10 Hours
Working with&nbsp;matplotlib.pyplot library.You learn a nice practical way of presenting visualizations of your data to yourself and others.	'Eigenvectors.&nbsp;There is a deeper meaning for computing the eigenvectors and values for a matrix. There could''ve been more insight of the purpose of these.'	4 : 10-20 hours
scatter plot task was useful for learning to use matplotlib	'can''t think of anything specific'	4 : 10-20 hours
Calculating the total amount of hypotheses. Showed the enormity of the problem. And also numbers are fun.	'I did not like the bitcoin example. I would have liked more if we''d predicted the value of bitcoin tomorrow. That''s what you would want to know.'	3 : 6-10 Hours
PCA	Formalism e.g. hypothesis spaces of innumerable size (such as all Python functions that perform in less than 10 seconds). Skip the formalism and concentrate on algorithms (Python code is helpful, math notation not so much).	3 : 6-10 Hours
Overall concept was clearly explained ( features/labels/hypothesis space ...) Like to learn Pandas / numpy / matplotlib too.	My linear algebra is little rusty, need to rehearse :P	3 : 6-10 Hours
All the general definitions related to the Machine Learning such as Features, Labels and Loss Function explained perfectly with the given proper examples.	The connection between detecting apple, for example, in a drawing and starting to write a function for that is still unclear for me.I would like to know in what way a function could help us or software to decide if the drawing shows an apple or not.	3 : 6-10 Hours
The overall idea on how to start constructing a machine learning problem was the most important part for me	Hypothesis spaces, the concept was confusing at first	3 : 6-10 Hours
The exercises were a nice reminder on how to use numpy and matplotlib.	Nothing, everything was okay.	2 : 1-5 hours
The first assignment where we used numpy to draw a plot. Quite useful.	All exercises were kinda the same, hard to pick any one particular.	2 : 1-5 hours
Introduction to Jupyter. I had never used it before and always done everything with Vim + Python on a command line.	'I did not like the fact there was a time limit for the quiz. There was plenty of time, but it still introduced quite a bit of extra stress. I honestly don''t see the point of having a limit.I am also somewhat confused when it comes to the grading. I cannot see my grade from the quiz anywhere. The summary of previous attempts of Quiz 1 says that review will be available once the round closes. The grades panel on the sidebar also fails to show the amount of points collected.'	2 : 1-5 hours
'Overall, the python notebook was certainly good for the people with less experience. For someone who''s getting paid for doing data science with Python, it was a fun little warmup.'	The first exercise felt a bit out of place.	1 : less than 1 hour
It was just about learning/remembering Python after many years of Matlab. 	The instructions in the third section were not that clear. 	2 : 1-5 hours
python link was so much of helppart one and two exercise was practical implementation&nbsp;which further strength the knowledge&nbsp;	I had problems with&nbsp;eigenvalue and eigenvectorsnot int the computation of it but rather from understanding its meaning or the reason behind it&nbsp;	4 : 10-20 hours
Programming exercise. The student really has to focus on the data to determine right answers, gives insights more than just reading.	Quiz questions about typos. Impossible to find typos and trying to focus on the content at the same time.	4 : 10-20 hours
Programming , good to find questions related to that in quiz.	Nothing here.	3 : 6-10 Hours
'The best part for me is the Rumba example. Even though there are lot''s of terminologies, jargon and theory: which makes is hard to follow; Rumba just gives you a clear picture of how these things can be used in practice.&nbsp;'	'One thing that I found bad is getting lost while reading the course book''s section 1, 2. Especially, when it comes to all the mathematical inference. I see this as a personal issue, but not the course related stuff and hope that over time it will be better.&nbsp;'	4 : 10-20 hours
I really like the structure of the course and the concept in general. This great that we have JupyterLab assignments and can get hands-on experience with machine learning algorithms along with the theory.	I think the most challenging (not the worst) part is finding matrix eigenvalues (eigenvectors) as it is not clearly explained why this is important.	2 : 1-5 hours
Eigenvalues and eigenvectors. Even though they were noe explained, they are essential in linear algebra.&nbsp;	The jupyter environment is not that good.	2 : 1-5 hours
The basic exercises were wery good to start with, good round.	'I didn''t have any bigger problems this round'	2 : 1-5 hours
Tasks 2,3: learning some pandas, numpy and matplotlib was nice and the exercises were clear and simple which demonstrated the topics well.	All were fine. The exercises were a soft and nice introduction to the topics, nothing bad to say.	2 : 1-5 hours
I think the best part was the chapter 2 of the course book because it gave a pretty good summary of machine learning as a whole.	'I don''t really like the IPython notebooks (in general; not just in this case). They make testing the code harder than is necessary and promote the use of global variables which are evil.'	2 : 1-5 hours
I liked the way the quiz tested if one had done the programming exercises. Made the programming feel more "rewarding".	'I felt a bit cheated with one of the quiz on the eigenvector question with the answer with the reversed vector being correct swell. Sure it could just be that I don''t understand linear algebra well enough yet &nbsp;but asked about it in Slack. The python notebook got a little bit messy with the different plots being generated.'	2 : 1-5 hours
'Task 3 was nice, haven''t worked with matrices for a while. How to scatterplot was also good to memorize'	Working too late :)	2 : 1-5 hours
I really liked the lectures this far.	I have a reading disorder and found It hard to read the course book, as the margins were justified and the font was in serif. It would be really nice if their was an easy-read version of the book.	3 : 6-10 Hours
The coding because it gives a sense of accomplishment when you get the correct answer	'Reading, it''s dull and I feel I don''t retain it very well'	2 : 1-5 hours
Best part was that students were to only fill blank spaces instead of creating something from zero which is the policy in some courses, e.g. "straight to the deep end of the pool".	Cannot name any.	2 : 1-5 hours
The coding exercise was especially helpful as I had no previous experience in using Python.	'The quizz question 7 was pointless since the point locations in a scatter plot don''t change when points are colored.'	2 : 1-5 hours
-0	-0	3 : 6-10 Hours
Abstract concept of hypothesis space I found interesting, also examples in material were intriquing.	My local jupyter uses different version of python so print works with different syntax which was a bit annoying.	2 : 1-5 hours
I liked Task 2: Files the most in this round, as it was straightforward and helped understand the concept of features better. 	Task 3 - Eigenvectors could use some python tips, for example mention how pyplot.plot connects two points (which is quite counter-intuitive).	2 : 1-5 hours
&nbsp;Loss function	Linear algebra	3 : 6-10 Hours
Features and labels were the best part because they were the core point of it.	Hypothesis space was addressed too little.	2 : 1-5 hours
The eigenvector of the covariance matrix stuff was pretty cool. It was nice to see that the eigenvectors actually made sense with respect to the data.	'Task 1 wasn''t very exciting, as I have used matplotlib before and the differentiation of the function wasn''t very interesting either. '	2 : 1-5 hours
The coding assignment was the best part of this round because I learned how to use matplotlib&nbsp;to create nice plots.	This feedback quiz is the worst part of this round because answering these questions is not interesting for me.	2 : 1-5 hours
Feature vectors because I feel that they are important	'Last question because I couldn''t compeletely understand it'	2 : 1-5 hours
plottingvisualizing data is fun	Eigenvalues	2 : 1-5 hours
Questions requiring more interpretation: Q17 Labels. Why: requires own understanding and use of knowledge.&nbsp;	Visuality of assignments: multiple choice questions with graphs were easily answered wrong.&nbsp;	3 : 6-10 Hours
Overall the fact that plots are used a lot to look at the data and that vectors were drawn on the data to see what the covariance means on the data.	'Personally using python was the worst part, but I managed easily, it wasn''t that bad. I have no former experience in python.'	3 : 6-10 Hours
The intoductory Jupyter assignments were decent - worked well and did their job.	The introduction of the course book jolts rapidly between applied formulations and more formal notation, which makes it unnecessarily challenging to distinguish the elements of notation that are intended to be generalized.&nbsp;	2 : 1-5 hours
I thought that the feature vectors were explained very well.	'I didn''t really grasp the concept of hypothesis space.'	3 : 6-10 Hours
I liked the process of going from datapoints--&gt;features--&gt;labels. It really opened up what machine learning really is.	Coding really is not my forte and it gave me some headache, but i still want to learn it. Slack really helped in many cases though.	4 : 10-20 hours
coding with python, because it was most fun and challenging	reading through the material.	3 : 6-10 Hours
Python notebook exercises and quiz generally good	- There could have been more exercises- No previous material on covariance matrix	2 : 1-5 hours
Labels and features were explained well.	I had some trouble following the idea of hypothesis space and the loss function.	3 : 6-10 Hours
I like the Jupyter notebook somehow. The exercises were hands-on which made the theory concrete. Handling data and graphing it made it easier to understand how one analyzes data.However, the Jupyter notebooks were explained weirdly. I constantly did wrong because I did not understand the exercises. Please copy the task for each into the code comments if you decide to keep the comments, one automatically reviews them instead of the text above.	The first question on the quiz was, in my opinion, the worst. I do understand that we have to have some background of linear algebra and such, but the questions were still very unexpected and could not have (easily) been solved with the information of the course.In general the exercise descriptions in the Jupyter notebooks were not of good quality. The descriptions could also be in the code comments and maybe refactored a bit.	2 : 1-5 hours
I think that chapter 2 as a whole gave a pretty good introduction to basics of machine learning problems. It was also nice in some way that exercises and quiz questions made me review concepts of linear algebra that I had not used for a while. 	I might be a bit biased, but the second quiz question about invertible matrices took me a bit by surprise (rusty linear algebra skills), it would have been nice to have an exercise in the jupyter notebook that would have pointed that it might be worth reviewing that topic. 	3 : 6-10 Hours
learning syntax	Too easy	2 : 1-5 hours
The task three was the best because it made me think about how the eigenvectors of the covariance matrix correspond to the data.	'The second matrix question in the quiz was a bit tricky. I don''t know if it''s basic matrix knowledge to know that transpose(X)*X + a*I is invertible.'	3 : 6-10 Hours
all of them	the last question on the notebook	2 : 1-5 hours
The one with histogram. I had little to almost no knowledge regarding why it is used for. However, after going through the exercise, lecture notes and chapters in the book, I now bear some competent knowledge on the same. Looking forward to gaining more in the upcoming days.&nbsp;	Nothing looked like the worst part in this exercise round. I aim to grab and build as much knowledge as I can and I am happy that I am getting to learn new things via this course.&nbsp;	3 : 6-10 Hours
I liked the python exercises.Even though I understand when Alex talks about feature vectors and matrices in the lecture, it is quite nice to be able to operate with real data and get a feel of what these things look like in practice.I like how the exercises breach the gap between understanding the theory and being able to apply that theory.	'I didn''t like the instructions for the task 3 of the python notebook exercise.I didn''t know exactly what eigenvectors were and I think a link there to some basic idea/documentation would have been nice (similar to the other tasks that had links to relevant documentation).Even though I plotted my data correctly quite quickly, it took a long time before I understood well what it meant'	3 : 6-10 Hours
Features and labels	Hypothesis part relatively difficult then others but not worst	3 : 6-10 Hours
All the topics are good. The notes have the simple and easy way of explanation by taking real examples. 	'For me, I didn''t get the importance of the weight vectors (W), how to find the exact values for this weight function for that particular application. '	4 : 10-20 hours
Working with the dataset and creating different plots form it.	Matrix and vector part. Those should be known from previous courses.	2 : 1-5 hours
I think it was important to get to know the basic structures of machine learning, i.e. data points (features, labels), loss function and hypothesis space.	Dealing with the csv files in the exercise was a bit confusing to me first. I was wondering, if all the rows were feature vectors, what would then be the labels and thus, how should I make the scatter plots. In the end I managed to do them correctly, though. So no labels needed.	4 : 10-20 hours
The good part was about manipulating and cooking data using jupyter notebook. This because i have previous exposure to jupyter usage.&nbsp;	The difficult topic that happen to me was the exercise about eigen-vector, which i have to get back to mathematics.	3 : 6-10 Hours
'I enjoyed plotting the data and the eigenvectors, because I''m keen to master the use of matplotlib.'	Maybe the part where one had to analyze the invertibility of the matrix product aT*a, as it was purely theoretical. But I do think that kind of exercises are useful from time to time as well.	2 : 1-5 hours
'The programming stuff is nice. Putting the theory into application kind of adds a legitimacy to what you''re learning'	-&nbsp;	2 : 1-5 hours
'I like the Python excerise that is used for the quizz. It''s a good starter for a programming beginner like myself.'	'Asking about vector and matrix properties. I don''t know about different kinds of matrices and vectors, and if they''re invertible or not, what full rank means. But I can try to fill that knowledge gap.'	5 : more than 20 hours
Features I guess. I have done AI before, so I have the knowledge of what was in this round.	The notations. I am still getting used to the ML notations.	3 : 6-10 Hours
Jupyter-notebooks were good. It took time but was rewarding. I liked the eigenvector assignment the most.	Worst was to answer quizz. I hope grading has +1 for good excercises as those are in my opinion very rewarding, where as clicking the wrong option on multi-quizz could drop my grade significantly. I really do not like quizz based grading.	4 : 10-20 hours
Starting with python basics was a good thing. First example exercise of matrices was great.	Task 2 files. More precise information about the use of scatter plot.	4 : 10-20 hours
Exercise 3, as it helps me to have a good revision on Matrix.Explaination on learning curve is helpful.	A little bit too much theoretical explanation focus on the loss function of linear regression	2 : 1-5 hours
I do not know how to choose one, but for me the coding exercises in Jupyter notebook was great. It is a really good way to recall the knowledge and practice our skills. And besides, coding is fun. Too bad there are not many coding exercises, and they are not graded.	'I understand that the book was designed as a source of knowledge, in which each chapter represents a topic in ML, and for that reason, all the ideas related to a subject should be presented in the equivalent chapter. However, that may have made it a little bit overwhelming for beginners.&nbsp;As someone with prior knowledge regarding the topic, I feel that some of the terms explained in two first chapters are not crucial to start with ML. Maybe&nbsp;there shouldn''t be that many new terminologies used in first chapters of the book. I mean we can explain things a little bit less academically, and focus on some main ideas that are needed right now (For someone with little background, looking at a few first pages and see a bunch of difficult words felt like looking at a blank wall).&nbsp;Also,&nbsp;I feel that the explanation in the textbook is sometimes not very clear, for example I got stuck with the question regarding how many "elements" does a hypothesis space have for awhile, since in the section of hypothesis space, the word "element" was used in quite different scenarios, without clear differentiation (anyway, just my two-cent but I feel that the understanding of this concept is not important enough to be in the first lesson). Luckily, the TAs were available at all time and did a good job in clarifying the subject.'	2 : 1-5 hours
In introduction I liked the machine learning application to find the freezing point of the sea when it is appropriate to do skiing. 	Get all understood. For this round no worst part.	2 : 1-5 hours
Loss functions .&nbsp; When we predict some labels, we need to be quite sure at least (99%).&nbsp;	Hypothesis space. I did understand after reading for a while. I guess , I need to read bit more an linear algebra ( refreshing it )	3 : 6-10 Hours
The Python assignment	the explanation in course book needs to have more examples	3 : 6-10 Hours
I really liked the coding interface of the jypyter and the tasks layout. It is good for learning	'In the part where there was a need to upload files into jupyter it was not explained that it is possible to use just file names:df = pd.read_csv(''Data.csv'', sep='','')I wasted more than two hours trying the approaches with the downloading files like that (below) with the address of the filedf = pd.read_csv("https://jupyter.cs.aalto.fi/user/vinogra1/edit/notebooks/01%20-%20Introduction/Data.csv")'	2 : 1-5 hours
The description on labels , features and&nbsp; data point was elaborate enough to understand them.	Loss functions. I just could not wrap my head around it. Also, for somebody like me who is learning basic principles in machine learning the example of image identification can be a bit challenging&nbsp; right in the first lecture :)	5 : more than 20 hours
I really enjoyed reading the first chapter of the "Machine Learning: Basic Principles" course book. It gave a good overview of ML and the broad spectrum of its applications. I also thought it did a good job of explaining how ML fits in with AI. Although now it seems ridiculous, before reading that first chapter I thought that ML was higher on the hierarchy than AI when it comes to "smart" computing.	'The worst part of this round was trying to understand section 2.2 of the course book. The Hypothesis Space  was a very difficult concept to grasp based on the provided material. It could have to do with my lack of familiarity with the notation, but this didn''t hinder my understanding of Features and Labels.'	4 : 10-20 hours
Terminology and approach to machine learning was nice to learn and clearly presented.	Matrix and vector operations and syntax takes a bit of getting used to again as it has been a while since I studied or used it. However will also be useful and needed.	2 : 1-5 hours
The notebook tasks were good, I learned a bit of the basics numpy and matplotlib.	There are too many questions in the quiz, each time I tried it I accidentally answered some questions wrong even though I knew the right answer.	3 : 6-10 Hours
This is not necessary "a topic" but it is superb that I amable to watch the recorded lectures afterwards:&nbsp; I can watch some difficult part as many times as&nbsp;I want until I understand it (assuming that I have enough time for that :)&nbsp;&nbsp;&nbsp; )	Some parts of the drawings on lecture 2 were little bit messy. Especially when the notations were rounded by pen afterwards.	5 : more than 20 hours
The lectures. They give concrete examples and clarify math which is my weak point.	Personally: I had trouble with python after long break with it.Material: there is very often "in what follows" in the text :)	3 : 6-10 Hours
Visualization.	No problems.	2 : 1-5 hours
The section 2 of the course book, because it opened some principles of machine learning the best for me.	I had to google myself how to use the libraries needed in the exercises, but atleast the descriptions were clear enough to understand what to google exactly.	2 : 1-5 hours
Leacures easy to follow, course book is EXCELLENT and really easy to understand!!!	Loss function was a bit too much for the first lecture (after 1h...)	4 : 10-20 hours
'Labels - I considered this to be the easiest to understand because I had prior knowledge about them having worked with them in the past. There are the part of data that measuring isn''t quite hard and thus made me understand them better.&nbsp;'	The plotting parts were quite challenging as there were not documentations provided that would have helped and made the work easier. Nonetheless, googling brought much more and in this way enabled me to learn more about different Python libraries and how they are used.&nbsp;	3 : 6-10 Hours
The second lecture of round 1 was the best part of this round. It was great that we went through the lecture 1 topics once again with a very clear example. The professor did an outstanding job with illustrating and drawing the topics, and finally linking them together.	The loss function was maybe the hardest of topics to grasp and understand at first from the grounds of lecture 1. Lecture 1 was quite unrevealing in the end. Thank you though for going it all over once again in lecture 2!!	3 : 6-10 Hours
Each and Every part is interesting especially this round is good start for basics of python libraries. The pandas library looks interesting to me for loading, manipulating and plotting the data.	There is nothing like that I feel as a worst part. Each and every exercise is very interesting to learn about basics of python libraries.	3 : 6-10 Hours
Each and Every part is interesting especially this round is good start for basics of python libraries. The pandas library looks interesting to me for loading, manipulating and plotting the data.	There is nothing like that I feel as a worst part. Each and every exercise is very interesting to learn about basics of python libraries.	3 : 6-10 Hours
Hard to choose but I would say task 2 because the instructions were clear and the results showed clearly how this could be useful to know i.e. how to get the size of a matrix and how to divide it to parts etc.	'I wouldn''t say any of these tasks were bad but in the task 3 the instructions were a bit unclear and e.g. 3.2 was already done so it was first unclear what to do...'	3 : 6-10 Hours
The best part of this round was eigen values and eigen vectors.I was not familiar with this concept after doing round 1 eercise, i got the understanding of this concept.	The whole exercise was quite interesting, cant think of any worst part.	2 : 1-5 hours
The best part of this round was to visualize the data, sample covariance with different plots such as the&nbsp;scatter plot, histogram plot etc.	I think there was no part of the quiz that was worst for this round. Overall the quiz was very interesting.	4 : 10-20 hours
Task 0:&nbsp;Good to know the basic functions before starting the exercises.	Task 3:Hard to understand the underlying math although the python exercises were pretty easy.	3 : 6-10 Hours
The best part of this round were the coding part combined with the teachings of the lectures. This "mix" made my understand basic concepts clearly.	Maybe the worst part was understanding the notations.	3 : 6-10 Hours
Introduction chapter of the book. It had fun and clear examples that were easy to understand as a beginner.	I had to google a lot of matplotlib functions. There could be a cheatsheet for the exercises.	3 : 6-10 Hours
Whole Python Notebook exercise were good, especially the last one (eigenvalues&amp;-vectors) which combined all previous exercises and some theory but were still not too complicated. 	'Nothing was really in bad shape, maybe lecture notes were a bit difficult to understand/merge to lecture slides if one couldn''t attend the lecture (my bad, should maybe have checked the video lectures).'	4 : 10-20 hours
I thought that the chapter about loss functions was really interesting, and got me thinking about the difficulty of rewarding/punishing the AI.	'I didn''t quite grasp the exercise on page 16 in the book. However, I haven''t watched the lecture recordings yet, so that might really be my own fault.'	3 : 6-10 Hours
'I liked the whole introduction, because it gave me a structured way of approaching the ML problems we''ll be looking at.'	I have to say that out of Stata, R and Java, Python seems to be the least user friendly and most demanding programming&nbsp; language.Although the logic behind it seems simple enough, I kept getting a lot of errors and deciphering what they meant was tedious.	5 : more than 20 hours
'I liked Task 1 where you where supposed to plot the sigmoid function and plot it''s derivative as well. It was the combination of math (differentiation) and python syntax (defining functions) that I liked, because I don''t have that much experience of programming in python yet. However, other langauges are familiar so I pick it up fast.'	It would have been nice to get a concrete example of what we do with eigenvalues/vectors in machine learning. "The largest eigenvalue indicates which direction the dataset varies the most", this was nice, but additionally a concrete example on how this should be interpreted would have been nice.	4 : 10-20 hours
